Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Kansas Wyand,Kansas,Wyandotte County,322,161775,0.97515528,0.02484472,0,80.1,12,0.883778315,71640,3112400,3136934,2492610,13419,11204,22577,436,160864,2,2,80432
Kentucky Adair,Kentucky,Adair County,138,19155,0.992753623,0.007246377,0,\N,\N,0.920222177,7160,269230,272515,208425,1624,412,1467,0,22113,0,1,22113
Kentucky Allen,Kentucky,Allen County,87,20420,0.942528736,0.057471264,\N,\N,\N,0.920222177,7910,358928,362900,276005,2768,550,2031,0,21863,0,2,10931.5
Kentucky Ander,Kentucky,Anderson County,81,21865,0.950617284,0.049382716,0,17.6,0,0.920222177,10620,571586,576459,430531,3740,1569,3998,0,23165,0,2,11582.5
Kentucky Balla,Kentucky,Ballard County,86,8215,0.918604651,0.081395349,\N,13,13,0.920222177,3330,162657,164190,113700,786,244,1006,0,5537,0,5,1107.4
Kentucky Barre,Kentucky,Barren County,146,43285,0.979452055,0.020547945,0,18.5,0,0.920222177,18470,853636,863337,625178,6024,1370,4239,0,44286,0,2,22143
Kentucky Boone,Kentucky,Boone County,129,125655,0.992248062,0.007751938,1,18.5,0,0.920222177,63030,4552156,4594969,3468094,58097,19724,45884,356,101400,0,13,7800
Kentucky Bourb,Kentucky,Bourbon County,114,20005,0.964912281,0.035087719,0,29.1,0,0.920222177,8820,460017,465420,325513,6205,1409,3954,0,15845,0,2,7922.5
Kentucky Boyle,Kentucky,Boyle County,88,29650,0.954545455,0.045454545,0,12.8,0,0.920222177,12110,668299,676808,453741,6931,2267,5446,0,36861,0,2,18430.5
Kentucky Brack,Kentucky,Bracken County,47,8405,0.829787234,0.170212766,\N,19.3,19.3,0.920222177,3690,176700,177896,136759,607,169,647,0,9123,0,3,3041
Kentucky Breat,Kentucky,Breathitt County,122,13475,0.93442623,0.06557377,0,44,0,0.920222177,4410,172843,173959,133647,494,112,525,0,9872,0,3,3290.666667
Kentucky Breck,Kentucky,Breckinridge County,91,20000,0.978021978,0.021978022,0,29.5,0,0.920222177,8190,382727,387118,271263,1494,450,1602,0,18789,0,3,6263
Kentucky Bulli,Kentucky,Bullitt County,97,77725,0.948453608,0.051546392,0,34.9,5.7,0.920222177,38710,2205924,2223057,1726984,16182,6579,17815,92,26626,0,2,13313
Kentucky Butle,Kentucky,Butler County,98,12830,0.959183673,0.040816327,\N,\N,\N,0.920222177,5010,221161,223270,172312,693,187,828,0,16884,0,2,8442
Kentucky Caldw,Kentucky,Caldwell County,115,12760,0.956521739,0.043478261,0,29.7,0,0.920222177,5440,249766,253028,178682,1441,280,1415,0,14047,0,3,4682.333333
Kentucky Callo,Kentucky,Calloway County,208,38300,0.932692308,0.067307692,0,11.4,0,0.920222177,14850,748437,759834,502451,5975,1847,5237,0,32244,0,19,1697.052632
Kentucky Carli,Kentucky,Carlisle County,75,4955,0.986666667,0.013333333,0,12.4,12.4,0.920222177,2010,103013,104410,63765,557,125,604,0,4090,0,6,681.6666667
Kentucky Carro,Kentucky,Carroll County,68,10775,0.897058824,0.102941176,0,32.5,0,0.920222177,4650,227442,228572,179810,869,260,1045,0,14482,0,5,2896.4
Kentucky Carte,Kentucky,Carter County,185,27290,0.913513514,0.086486486,0,\N,\N,0.920222177,10190,459525,462789,340170,1908,404,1656,0,28959,0,4,7239.75
Kentucky Casey,Kentucky,Casey County,140,15930,0.907142857,0.092857143,0,\N,\N,0.920222177,5810,213809,216153,162711,607,201,805,0,14762,0,2,7381
Kentucky Chris,Kentucky,Christian County,301,73935,0.966777409,0.033222591,0,50,0,0.920222177,29360,1322272,1339329,946567,10592,2317,7068,37,83953,0,4,20988.25
Kentucky Clark,Kentucky,Clark County,118,35705,0.974576271,0.025423729,0,38.2,0,0.920222177,16160,853381,861616,619512,7970,2293,6886,46,39579,0,2,19789.5
Kentucky Clint,Kentucky,Clinton County,39,10170,0.974358974,0.025641026,0,\N,\N,0.920222177,3730,129651,131092,98857,500,123,503,0,14752,0,2,7376
Kentucky Critt,Kentucky,Crittenden County,90,9210,0.922222222,0.077777778,0,\N,\N,0.920222177,3500,158295,159872,114261,943,143,755,0,3039,0,1,3039
Kentucky Cumbe,Kentucky,Cumberland County,87,6780,0.954022989,0.045977011,0,\N,\N,0.920222177,2520,94139,95076,69191,379,84,401,0,9665,0,2,4832.5
Kentucky Davie,Kentucky,Daviess County,282,98725,0.964539007,0.035460993,1,26.4,0,0.920222177,45850,2590517,2619938,1828237,25175,7218,18632,229,110047,0,6,18341.16667
Kentucky Edmon,Kentucky,Edmonson County,38,12085,0.894736842,0.105263158,0,4.3,0,0.920222177,4770,210558,212386,163789,779,188,829,0,36313,0,3,12104.33333
Kentucky Ellio,Kentucky,Elliott County,55,7660,0.854545455,0.145454545,\N,\N,\N,0.920222177,2120,84970,85579,65503,0,41,154,0,3528,0,1,3528
Kentucky Estil,Kentucky,Estill County,49,14405,0.918367347,0.081632653,\N,22.9,0,0.920222177,5380,219891,221418,169922,758,255,917,0,15150,0,2,7575
Kentucky Fayet,Kentucky,Fayette County,198,311530,0.949494949,0.050505051,1,49.7,0,0.920222177,143040,9915084,10045196,6767870,182057,59779,119302,591,302501,0,2,151250.5
Kentucky Flemi,Kentucky,Fleming County,118,14545,0.923728814,0.076271186,0,9.5,0,0.920222177,6020,250465,252834,195400,925,220,924,0,14301,0,3,4767
Kentucky Floyd,Kentucky,Floyd County,156,38145,0.916666667,0.083333333,0,63.9,0,0.920222177,12370,534240,539014,412591,2387,808,2375,0,45514,0,5,9102.8
Kentucky Frank,Kentucky,Franklin County,120,49980,0.841666667,0.158333333,0,15.6,0,0.920222177,24930,1468679,1480534,856874,9515,3998,9802,94,65400,0,4,16350
Kentucky Fulto,Kentucky,Fulton County,95,6325,0.915789474,0.084210526,0,23,7.4,0.920222177,2270,86488,87484,54992,154,48,230,0,7853,0,2,3926.5
Kentucky Galla,Kentucky,Gallatin County,54,8545,0.962962963,0.037037037,0,13.6,0,0.920222177,3640,175439,176556,145476,842,315,949,0,7848,0,2,3924
Kentucky Garra,Kentucky,Garrard County,67,17050,0.925373134,0.074626866,0,\N,\N,0.920222177,6950,343601,347653,255217,2169,619,2155,0,19379,0,2,9689.5
Kentucky Grant,Kentucky,Grant County,79,24705,0.860759494,0.139240506,0,29.8,0,0.920222177,10720,536432,540400,419027,3735,1142,3479,41,31082,0,4,7770.5
Kentucky Grave,Kentucky,Graves County,381,37380,0.934383202,0.065616798,0,37.4,0,0.920222177,15120,723806,733304,516585,4961,1027,4232,0,26628,0,11,2420.727273
Kentucky Grays,Kentucky,Grayson County,115,26090,0.965217391,0.034782609,0,33.6,0,0.920222177,10400,449346,453774,339898,1998,464,1816,0,30642,0,3,10214
Kentucky Hanco,Kentucky,Hancock County,70,8715,0.957142857,0.042857143,0,24,0,0.920222177,3850,198378,199981,154625,799,149,880,0,7024,0,4,1756
Kentucky Hardi,Kentucky,Hardin County,222,107575,0.986486486,0.013513514,0,77.6,0,0.920222177,49290,2649544,2674974,1956008,20871,7222,18997,167,134637,0,5,26927.4
Kentucky Harla,Kentucky,Harlan County,254,28030,0.787401575,0.212598425,0,94.8,0,0.920222177,8500,304689,307059,252208,652,251,751,0,28040,0,17,1649.411765
Kentucky Harri,Kentucky,Harrison County,151,18630,0.953642384,0.046357616,0,21.4,0,0.920222177,7910,390184,393575,296877,2108,613,2150,0,23999,0,2,11999.5
Kentucky Hende,Kentucky,Henderson County,183,46360,0.93442623,0.06557377,0,41.2,0,0.920222177,19780,1065860,1076159,765038,7247,2558,6289,0,52892,0,6,8815.333333
Kentucky Henry,Kentucky,Henry County,94,15530,0.882978723,0.117021277,0,15.5,0,0.920222177,7050,353514,356936,266593,2038,775,2135,0,22370,0,3,7456.666667
Kentucky Hickm,Kentucky,Hickman County,122,4690,0.926229508,0.073770492,0,23.9,13.7,0.920222177,1810,82027,83464,51618,352,53,430,0,1933,0,2,966.5
Kentucky Hopki,Kentucky,Hopkins County,249,46360,0.919678715,0.080321285,0,97.3,0,0.920222177,18730,1000034,1010187,717014,7696,2001,5924,51,57563,0,10,5756.3
Kentucky Jacks,Kentucky,Jackson County,52,13355,0.942307692,0.057692308,0,\N,\N,0.920222177,4530,171094,172319,141374,337,102,423,0,14960,0,2,7480
Kentucky Jeffe,Kentucky,Jefferson County,655,759725,0.916030534,0.083969466,1,139.7,0,0.920222177,374950,25092457,25391760,17218102,433949,137184,283203,1602,764769,0,1,764769
Kentucky Jessa,Kentucky,Jessamine County,56,51015,0.964285714,0.035714286,0,16.1,0,0.920222177,22700,1530204,1550996,1047659,31424,10276,19625,189,55307,0,4,13826.75
Kentucky Johns,Kentucky,Johnson County,99,23280,0.96969697,0.03030303,0,29.9,0,0.920222177,7750,369958,373782,279563,2255,626,1915,0,24354,0,1,24354
Kentucky Kento,Kentucky,Kenton County,141,163395,0.95035461,0.04964539,0,56.3,2.4,0.920222177,79470,8826734,8883064,4035017,103087,28838,54198,318,199460,0,1,199460
Kentucky Knott,Kentucky,Knott County,115,15885,0.904347826,0.095652174,\N,25.2,0,0.920222177,4700,219722,221529,149074,1059,123,588,0,9439,0,4,2359.75
Kentucky Larue,Kentucky,Larue County,54,14125,0.925925926,0.074074074,0,4.5,3,0.920222177,6250,285719,288301,216578,1220,390,1411,0,13691,0,2,6845.5
Kentucky Laure,Kentucky,Laurel County,136,59950,0.875,0.125,0,27.6,0,0.920222177,23810,1097416,1108337,823130,8113,1724,6320,70,72751,0,5,14550.2
Kentucky Lawre,Kentucky,Lawrence County,103,15870,0.922330097,0.077669903,\N,36.8,0,0.920222177,5350,242043,243806,190561,702,237,679,0,8236,0,1,8236
Kentucky Lesli,Kentucky,Leslie County,111,10870,0.675675676,0.324324324,0,\N,\N,0.920222177,3260,132469,133326,105066,359,118,379,0,9614,0,1,9614
Kentucky Letch,Kentucky,Letcher County,159,23380,0.855345912,0.144654088,0,34.9,0,0.920222177,7090,299308,301262,233357,851,170,741,0,12555,0,5,2511
Kentucky Lewis,Kentucky,Lewis County,143,13645,0.944055944,0.055944056,\N,41.6,41.6,0.920222177,4820,195216,196741,153774,356,74,376,0,10106,0,2,5053
Kentucky Linco,Kentucky,Lincoln County,136,24425,0.948529412,0.051470588,0,24,0,0.920222177,9440,399966,404046,302131,2170,497,1754,0,21615,0,4,5403.75
Kentucky Livin,Kentucky,Livingston County,105,9355,0.971428571,0.028571429,0,3.2,0,0.920222177,3830,183091,184709,134607,742,197,818,0,19523,0,5,3904.6
Kentucky Logan,Kentucky,Logan County,133,26755,0.984962406,0.015037594,0,38.3,0,0.920222177,11510,562592,570829,392875,3620,670,2978,0,29910,0,7,4272.857143
Kentucky McCra,Kentucky,McCracken County,202,65290,0.925742574,0.074257426,1,61.8,0,0.920222177,29980,1867168,1890875,1205282,26827,6266,16507,45,70517,0,4,17629.25
Kentucky McCre,Kentucky,McCreary County,38,17850,0.842105263,0.157894737,0,33.4,8.1,0.920222177,4800,164326,165733,129913,339,80,367,0,17532,0,1,17532
Kentucky McLea,Kentucky,McLean County,75,9490,0.92,0.08,0,\N,\N,0.920222177,3870,190474,193310,134592,690,168,776,0,8537,0,6,1422.833333
Kentucky Madis,Kentucky,Madison County,157,87325,0.942675159,0.057324841,0,28,0,0.920222177,36990,1997940,2017063,1498339,17017,5878,16637,115,91879,0,6,15313.16667
Kentucky Magof,Kentucky,Magoffin County,102,12885,0.950980392,0.049019608,\N,13.7,0,0.920222177,3890,151045,152049,120852,486,144,539,0,11954,0,2,5977
Kentucky Mario,Kentucky,Marion County,147,19495,0.959183673,0.040816327,0,\N,\N,0.920222177,8440,399982,403897,307789,1976,447,1669,0,23953,0,2,11976.5
Kentucky Marsh,Kentucky,Marshall County,205,31215,0.956097561,0.043902439,0,18,0,0.920222177,13940,779466,787285,527783,6837,1845,5592,0,34849,0,6,5808.166667
Kentucky Marti,Kentucky,Martin County,68,12480,0.897058824,0.102941176,0,23.4,0,0.920222177,3020,118753,119515,93501,184,52,252,0,9504,0,1,9504
Kentucky Mason,Kentucky,Mason County,100,17230,0.9,0.1,0,33.6,19.3,0.920222177,7320,380184,383830,275050,3452,717,2313,48,27642,0,4,6910.5
Kentucky Meade,Kentucky,Meade County,25,28750,0.8,0.2,\N,24,0,0.920222177,13040,699554,706152,528748,3280,1291,3650,0,22682,0,5,4536.4
Kentucky Menif,Kentucky,Menifee County,46,6345,1,0,\N,\N,\N,0.920222177,2270,84844,85469,68848,230,39,248,0,5451,0,3,1817
Kentucky Merce,Kentucky,Mercer County,73,21410,0.945205479,0.054794521,0,28.1,0,0.920222177,9840,491076,496314,359776,3432,1176,3628,46,26366,0,4,6591.5
Kentucky Metca,Kentucky,Metcalfe County,77,9985,0.974025974,0.025974026,\N,\N,\N,0.920222177,3990,145157,146617,114181,199,39,235,0,8515,0,1,8515
Kentucky Monro,Kentucky,Monroe County,67,10690,0.955223881,0.044776119,0,\N,\N,0.920222177,4230,173993,176439,130441,1016,156,682,0,13497,0,3,4499
Kentucky Montg,Kentucky,Montgomery County,74,27390,0.932432432,0.067567568,0,\N,\N,0.920222177,11780,560330,565479,424687,3312,1022,3163,0,34363,0,6,5727.166667
Kentucky Morga,Kentucky,Morgan County,109,13380,0.95412844,0.04587156,0,\N,\N,0.920222177,4100,170566,172092,127748,464,122,501,0,9869,0,2,4934.5
Kentucky Muhle,Kentucky,Muhlenberg County,156,31215,0.961538462,0.038461538,0,50.5,0,0.920222177,11820,558791,563463,410880,2188,733,2404,0,35164,0,5,7032.8
Kentucky Nelso,Kentucky,Nelson County,151,44875,0.900662252,0.099337748,0,20,17,0.920222177,22180,1241949,1253538,921368,9775,2967,8107,80,51678,0,4,12919.5
Kentucky Nicho,Kentucky,Nicholas County,81,7060,0.950617284,0.049382716,0,15.7,0,0.920222177,3030,113518,114331,95799,436,89,409,0,10410,0,3,3470
Kentucky Oldha,Kentucky,Oldham County,67,63875,0.820895522,0.179104478,0,14.6,0,0.920222177,28850,2993225,3028961,2147728,72044,24061,44438,190,29641,0,2,14820.5
Kentucky Owsle,Kentucky,Owsley County,54,4550,0.962962963,0.037037037,\N,\N,\N,0.920222177,1300,47087,47417,35490,0,0,0,0,5346,0,1,5346
Kentucky Pendl,Kentucky,Pendleton County,93,14510,0.935483871,0.064516129,0,28.7,3.4,0.920222177,6240,322036,324764,250833,1913,593,1729,0,15554,0,5,3110.8
Kentucky Perry,Kentucky,Perry County,151,27820,0.940397351,0.059602649,0,62.8,0,0.920222177,9710,439055,442904,338898,3345,599,2032,0,30247,0,3,10082.33333
Kentucky Powel,Kentucky,Powell County,107,12385,0.962616822,0.037383178,0,\N,\N,0.920222177,4970,195581,196817,154326,664,165,826,0,15917,0,4,3979.25
Kentucky Pulas,Kentucky,Pulaski County,176,63770,0.977272727,0.022727273,0,31.8,0,0.920222177,25940,1226687,1240799,858245,11758,2660,8701,39,102144,0,8,12768
Kentucky Rober,Kentucky,Robertson County,23,2190,1,0,\N,\N,\N,0.920222177,840,35165,35404,28489,0,0,0,0,814,0,1,814
Kentucky Rockc,Kentucky,Rockcastle County,92,16895,0.989130435,0.010869565,0,31.8,0,0.920222177,5980,249421,251416,201210,1002,167,893,0,21448,0,5,4289.6
Kentucky Rowan,Kentucky,Rowan County,129,24300,0.953488372,0.046511628,0,\N,\N,0.920222177,8660,411878,415572,297787,2889,701,2383,0,34317,0,3,11439
Kentucky Russe,Kentucky,Russell County,47,17685,0.957446809,0.042553191,0,\N,\N,0.920222177,7070,290611,294548,211907,1829,481,1697,0,19093,0,2,9546.5
Kentucky Scott,Kentucky,Scott County,183,51350,0.956284153,0.043715847,0,26.6,0,0.920222177,25290,1662990,1678619,1306561,20768,5629,18593,283,35714,0,1,35714
Kentucky Shelb,Kentucky,Shelby County,136,44965,0.911764706,0.088235294,0,56.1,0,0.920222177,21720,1491160,1507922,1031536,21345,7674,17367,210,50487,0,4,12621.75
Kentucky Simps,Kentucky,Simpson County,48,17855,0.916666667,0.083333333,0,13.3,0,0.920222177,8450,389451,394493,295656,2289,643,2137,0,22014,0,2,11007
Kentucky Spenc,Kentucky,Spencer County,57,17800,0.877192982,0.122807018,0,\N,\N,0.920222177,8670,574338,578796,449307,5369,1986,5679,0,18973,0,1,18973
Kentucky Taylo,Kentucky,Taylor County,90,25315,0.977777778,0.022222222,0,\N,\N,0.920222177,10530,461807,466267,345152,3726,814,2962,0,24874,0,1,24874
Kentucky Trigg,Kentucky,Trigg County,105,14265,0.923809524,0.076190476,0,\N,\N,0.920222177,6090,286538,290128,184176,1584,655,1895,0,20280,0,11,1843.636364
Kentucky Trimb,Kentucky,Trimble County,43,8750,0.906976744,0.093023256,0,0.2,0,0.920222177,3710,186436,187610,151758,827,268,940,0,8007,0,2,4003.5
Kentucky Union,Kentucky,Union County,127,15065,0.937007874,0.062992126,0,2.8,0,0.920222177,5710,292742,296868,205504,1374,323,1131,0,16273,0,4,4068.25
Kentucky Warre,Kentucky,Warren County,104,121065,0.971153846,0.028846154,0,39,0,0.920222177,54970,3153697,3194229,2240681,41720,10818,29525,72,119008,0,2,59504
Kentucky Washi,Kentucky,Washington County,98,12015,0.908163265,0.091836735,0,\N,\N,0.920222177,5320,251087,253894,194677,1516,355,1473,0,13205,0,1,13205
Kentucky Wayne,Kentucky,Wayne County,75,20555,0.866666667,0.133333333,0,\N,\N,0.920222177,7440,284852,287469,206403,965,277,1023,0,21000,0,1,21000
Kentucky Webst,Kentucky,Webster County,145,13330,0.937931034,0.062068966,0,35.6,0,0.920222177,5230,265960,268517,197169,1270,284,1128,0,15569,0,6,2594.833333
Kentucky Whitl,Kentucky,Whitley County,152,35840,0.894736842,0.105263158,0,52.7,0,0.920222177,13450,571501,576763,414530,4211,890,2811,0,40734,0,5,8146.8
Kentucky Wolfe,Kentucky,Wolfe County,73,7220,0.904109589,0.095890411,\N,\N,\N,0.920222177,2310,82684,83417,65592,0,0,159,0,6700,0,2,3350
Kentucky Woodf,Kentucky,Woodford County,61,25590,0.967213115,0.032786885,0,18.9,2.8,0.920222177,12620,800232,810911,567579,11582,3732,9146,68,26858,0,4,6714.5
Louisiana Acadi,Louisiana,Acadia Parish,302,62370,0.913907285,0.086092715,0,44,23.7,0.743835895,24240,1219479,1235832,939849,5277,997,4353,73,60039,0,12,5003.25
Louisiana Allen,Louisiana,Allen Parish,183,25620,0.863387978,0.136612022,0,57.5,0,0.743835895,8490,431495,435239,337412,1206,225,1372,0,31837,0,10,3183.7
Louisiana Ascen,Louisiana,Ascension Parish,212,117010,0.886792453,0.113207547,0,43.5,0,0.743835895,54080,3986683,4020244,3166701,32918,11662,38884,843,35190,0,37,951.0810811
Louisiana Assum,Louisiana,Assumption Parish,68,22975,0.941176471,0.058823529,0,5.1,3.1,0.743835895,9100,518588,522830,405999,2313,489,2564,179,22862,0,1,22862
Louisiana Avoye,Louisiana,Avoyelles Parish,161,41250,0.695652174,0.304347826,0,44.6,0,0.743835895,15520,708086,716219,521691,2004,336,1858,48,51135,0,17,3007.941176
Louisiana Beaur,Louisiana,Beauregard Parish,226,36435,0.907079646,0.092920354,0,82.1,0,0.743835895,14130,845593,852855,643494,3902,908,4192,51,46472,0,8,5809
Louisiana Bienv,Louisiana,Bienville Parish,190,13925,0.726315789,0.273684211,0,57.9,0,0.743835895,5380,238381,240418,177455,902,190,1119,198,16840,0,25,673.6
Louisiana Bossi,Louisiana,Bossier Parish,280,124720,0.764285714,0.235714286,0,98.1,0,0.743835895,54380,3295153,3326867,2381353,25571,12171,31425,712,127647,0,30,4254.9
Louisiana Caddo,Louisiana,Caddo Parish,688,253125,0.918604651,0.081395349,1,142.1,0,0.743835895,105730,6165504,6236483,3968970,68207,29624,63074,1668,255729,0,50,5114.58
Louisiana Calca,Louisiana,Calcasieu Parish,456,197235,0.921052632,0.078947368,1,136.7,44.2,0.743835895,88560,5733611,5798092,4197163,47513,13354,43240,397,217207,0,83,2616.951807
Louisiana Caldw,Louisiana,Caldwell Parish,140,9995,0.871428571,0.128571429,0,28.2,0,0.743835895,3650,197562,199579,152781,713,144,862,0,15504,0,11,1409.454545
Louisiana Camer,Louisiana,Cameron Parish,59,6740,0.847457627,0.152542373,0,\N,\N,0.743835895,3130,220134,221806,152534,1184,210,836,0,11790,0,7,1684.285714
Louisiana Catah,Louisiana,Catahoula Parish,72,10145,0.930555556,0.069444444,0,\N,\N,0.743835895,3380,160482,162536,122341,864,105,1351,0,11934,0,8,1491.75
Louisiana Claib,Louisiana,Claiborne Parish,155,16450,0.696774194,0.303225806,0,33.6,0,0.743835895,5250,257490,261149,173297,1344,310,1526,137,19101,0,14,1364.357143
Louisiana Conco,Louisiana,Concordia Parish,42,20290,0.857142857,0.142857143,0,\N,\N,0.743835895,6990,318506,322593,231414,1387,434,1998,0,26336,0,9,2926.222222
Louisiana De So,Louisiana,De Soto Parish,206,27045,0.888349515,0.111650485,0,74.8,0,0.743835895,11820,671337,676566,456074,4754,1078,4867,317,28492,0,13,2191.692308
Louisiana Evang,Louisiana,Evangeline Parish,165,33765,0.933333333,0.066666667,0,30.2,0,0.743835895,12400,595124,601969,475269,1780,310,1812,0,40924,0,15,2728.266667
Louisiana Frank,Louisiana,Franklin Parish,143,20465,0.944055944,0.055944056,0,\N,\N,0.743835895,7570,303290,307029,250735,1610,271,3488,0,21055,0,8,2631.875
Louisiana Grant,Louisiana,Grant Parish,218,22370,0.839449541,0.160550459,0,85.9,0,0.743835895,7710,394096,397130,305660,1219,350,1662,0,24948,0,13,1919.076923
Louisiana Iberi,Louisiana,Iberia Parish,145,73800,0.903448276,0.096551724,0,45.3,17.5,0.743835895,29580,1555829,1578138,1079056,7791,1888,7728,218,75200,0,14,5371.428571
Louisiana Iberv,Louisiana,Iberville Parish,81,33160,0.87654321,0.12345679,0,35,0,0.743835895,13170,728783,736409,549331,4759,1275,6209,300,43030,0,13,3310
Louisiana Jacks,Louisiana,Jackson Parish,165,16000,0.915151515,0.084848485,0,12.8,0,0.743835895,5880,294445,297217,223130,1381,387,1775,34,18563,0,24,773.4583333
Louisiana Lafay,Louisiana,Lafayette Parish,316,234965,0.879746835,0.120253165,1,24.3,20.9,0.743835895,107570,7486291,7593017,4957018,70278,24049,56972,451,296931,0,65,4568.169231
Louisiana Lafou,Louisiana,Lafourche Parish,132,97690,0.818181818,0.181818182,0,37.1,22.6,0.743835895,39370,1857473,1881270,1792607,14023,3593,10912,542,94570,0,2,47285
Louisiana Linco,Louisiana,Lincoln Parish,178,47480,0.814606742,0.185393258,0,27.2,0,0.743835895,17410,1055697,1070253,674335,10612,3066,9109,113,59588,0,24,2482.833333
Louisiana Livin,Louisiana,Livingston Parish,255,135925,0.91372549,0.08627451,0,24.4,0,0.743835895,57770,3417010,3444976,2792315,19327,6424,23178,494,133249,0,37,3601.324324
Louisiana Madis,Louisiana,Madison Parish,108,11805,0.898148148,0.101851852,0,44.3,0,0.743835895,3790,126329,128337,99690,440,143,675,0,13410,0,4,3352.5
Louisiana Moreh,Louisiana,Morehouse Parish,146,26740,0.794520548,0.205479452,0,65.9,0,0.743835895,10340,437128,441614,317760,1755,545,2293,64,33060,0,15,2204
