Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Florida Calho,Florida,Calhoun County,48,14550,0.979166667,0.020833333,0,,,0.882151679
Florida Charl,Florida,Charlotte County,209,169640,1,0,1,24.7,0,0.882151679
Florida Citru,Florida,Citrus County,41,140455,1,0,0,17.9,0,0.882151679
Florida Colli,Florida,Collier County,363,348235,0.994490358,0.005509642,0,1.5,0,0.882151679
Florida Colum,Florida,Columbia County,112,68200,0.982142857,0.017857143,0,35.5,0,0.882151679
Florida DeSot,Florida,DeSoto County,57,35135,0.98245614,0.01754386,0,23.9,0,0.882151679
Florida Dixie,Florida,Dixie County,55,16085,0.909090909,0.090909091,0,,,0.882151679
Florida Duval,Florida,Duval County,768,900890,0.98046875,0.01953125,1,165.9,24.9,0.882151679
Florida Escam,Florida,Escambia County,244,309575,0.893442623,0.106557377,1,108,0,0.882151679
Florida Flagl,Florida,Flagler County,97,102915,0.989690722,0.010309278,0,23.7,0,0.882151679
Florida Frank,Florida,Franklin County,44,11705,0.590909091,0.409090909,0,28.3,0,0.882151679
Florida Gadsd,Florida,Gadsden County,123,46155,0.894308943,0.105691057,0,69.6,0,0.882151679
Florida Gilch,Florida,Gilchrist County,10,17035,1,0,0,,,0.882151679
Florida Glade,Florida,Glades County,59,13420,1,0,0,32.3,0,0.882151679
Florida Hamil,Florida,Hamilton County,61,14360,0.983606557,0.016393443,0,36.2,0,0.882151679
Florida Harde,Florida,Hardee County,87,27300,0.988505747,0.011494253,0,21.7,0,0.882151679
Florida Hendr,Florida,Hendry County,81,38375,1,0,0,9.6,0,0.882151679
Florida Herna,Florida,Hernando County,57,176795,1,0,0,26.3,0,0.882151679
Florida Highl,Florida,Highlands County,64,98860,0.96875,0.03125,0,74.8,39.5,0.882151679
Florida Hills,Florida,Hillsborough County,814,1323060,0.995085995,0.004914005,1,179.1,24.8,0.882151679
Florida Holme,Florida,Holmes County,156,19570,0.846153846,0.153846154,0,23.4,0,0.882151679
Florida India,Florida,Indian River County,122,145340,0.991803279,0.008196721,1,21.2,0,0.882151679
Florida Jacks,Florida,Jackson County,146,48720,0.965753425,0.034246575,0,72.3,0,0.882151679
Florida Jeffe,Florida,Jefferson County,71,14080,0.915492958,0.084507042,0,19.1,0,0.882151679
Florida Lafay,Florida,Lafayette County,28,8740,0.928571429,0.071428571,0,,,0.882151679
Florida Liber,Florida,Liberty County,77,8285,0.87012987,0.12987013,,36.6,0,0.882151679
Florida Madis,Florida,Madison County,59,18560,0.983050847,0.016949153,0,60.7,0,0.882151679
Florida Manat,Florida,Manatee County,201,353410,1,0,1,39.8,0,0.882151679
Florida Mario,Florida,Marion County,69,340340,0.985507246,0.014492754,0,78.5,0,0.882151679
Florida Marti,Florida,Martin County,127,153590,1,0,0,74.3,23.2,0.882151679
Florida Miami,Florida,Miami-Dade County,1003,2664420,0.983050847,0.016949153,1,133.1,52.9,0.882151679
Florida Monro,Florida,Monroe County,100,77150,0.94,0.06,1,,,0.882151679
Florida Nassa,Florida,Nassau County,102,77185,0.970588235,0.029411765,0,79.2,23.8,0.882151679
Florida Okalo,Florida,Okaloosa County,217,195800,0.953917051,0.046082949,0,26.2,0,0.882151679
Florida Okeec,Florida,Okeechobee County,67,39420,1,0,0,26.4,26.4,0.882151679
Florida Orang,Florida,Orange County,792,1256055,0.997474747,0.002525253,1,78.4,21.8,0.882151679
Florida Osceo,Florida,Osceola County,241,311960,1,0,0,14.1,14.1,0.882151679
Florida Palm ,Florida,Palm Beach County,604,1398755,0.990066225,0.009933775,1,191.8,82,0.882151679
Florida Pasco,Florida,Pasco County,123,488310,1,0,0,47.6,0,0.882151679
Florida Pinel,Florida,Pinellas County,422,939550,0.988151659,0.011848341,1,29.9,0,0.882151679
Florida Putna,Florida,Putnam County,68,72305,0.955882353,0.044117647,0,49.2,39,0.882151679
Florida St. J,Florida,St. Johns County,119,218360,0.983193277,0.016806723,0,35.1,0,0.882151679
Florida St. L,Florida,St. Lucie County,147,293135,0.986394558,0.013605442,0,44.3,0,0.882151679
Florida Santa,Florida,Santa Rosa County,193,163905,0.948186528,0.051813472,0,28.5,0,0.882151679
Florida Saras,Florida,Sarasota County,295,398010,0.993220339,0.006779661,0,15.1,0,0.882151679
Florida Semin,Florida,Seminole County,145,442905,1,0,1,26.8,16.1,0.882151679
Florida Sumte,Florida,Sumter County,73,113590,1,0,0,29.7,0,0.882151679
Florida Suwan,Florida,Suwannee County,37,43655,0.918918919,0.081081081,0,25.2,0,0.882151679
Florida Taylo,Florida,Taylor County,92,22580,0.880434783,0.119565217,0,20.1,0,0.882151679
Florida Union,Florida,Union County,28,15160,0.964285714,0.035714286,0,,,0.882151679
Florida Volus,Florida,Volusia County,226,510805,0.96460177,0.03539823,1,88.1,40.1,0.882151679
Florida Wakul,Florida,Wakulla County,50,31315,0.86,0.14,0,,,0.882151679
Florida Walto,Florida,Walton County,220,61530,0.954545455,0.045454545,0,22,0,0.882151679
Florida Washi,Florida,Washington County,95,24625,0.905263158,0.094736842,0,12.4,0,0.882151679
Georgia Appli,Georgia,Appling County,76,18410,1,0,0,37.3,0,0.967672415
Georgia Atkin,Georgia,Atkinson County,57,8270,0.947368421,0.052631579,,3.1,0,0.967672415
Georgia Bacon,Georgia,Bacon County,42,11250,0.952380952,0.047619048,0,5.2,0,0.967672415
Georgia Baker,Georgia,Baker County,24,3250,0.916666667,0.083333333,0,,,0.967672415
Georgia Baldw,Georgia,Baldwin County,77,45810,0.974025974,0.025974026,0,27.2,0,0.967672415
Georgia Banks,Georgia,Banks County,93,18335,0.967741935,0.032258065,,13,6.9,0.967672415
Georgia Barro,Georgia,Barrow County,76,73340,0.986842105,0.013157895,0,18.7,0,0.967672415
Georgia Barto,Georgia,Bartow County,215,101940,0.976744186,0.023255814,0,71.5,0,0.967672415
Georgia Ben H,Georgia,Ben Hill County,47,17405,0.957446809,0.042553191,0,18,0,0.967672415
Georgia Berri,Georgia,Berrien County,81,18985,0.975308642,0.024691358,0,24.1,0,0.967672415
Georgia Bleck,Georgia,Bleckley County,29,12835,0.965517241,0.034482759,0,16,0,0.967672415
Georgia Brant,Georgia,Brantley County,54,18405,0.944444444,0.055555556,0,52.5,20.1,0.967672415
Georgia Brook,Georgia,Brooks County,103,15645,0.922330097,0.077669903,0,46.9,0,0.967672415
Georgia Bryan,Georgia,Bryan County,78,34105,1,0,,38.4,7.3,0.967672415
Georgia Bullo,Georgia,Bulloch County,138,73140,0.992753623,0.007246377,0,20.9,0,0.967672415
Georgia Burke,Georgia,Burke County,82,22840,0.987804878,0.012195122,0,64.8,0,0.967672415
Georgia Butts,Georgia,Butts County,46,23480,0.934782609,0.065217391,0,18.4,0,0.967672415
Georgia Calho,Georgia,Calhoun County,42,6445,1,0,0,33.1,0,0.967672415
Georgia Camde,Georgia,Camden County,97,52090,0.989690722,0.010309278,0,23.4,0,0.967672415
Georgia Candl,Georgia,Candler County,61,10960,0.983606557,0.016393443,0,7.9,0,0.967672415
Georgia Carro,Georgia,Carroll County,168,113755,0.970238095,0.029761905,0,43.7,9.6,0.967672415
Georgia Catoo,Georgia,Catoosa County,87,65645,0.977011494,0.022988506,0,13.8,0,0.967672415
Georgia Charl,Georgia,Charlton County,72,12970,0.972222222,0.027777778,0,46.4,19.2,0.967672415
Georgia Chath,Georgia,Chatham County,247,282615,0.991902834,0.008097166,1,104.1,33.8,0.967672415
Georgia Chero,Georgia,Cherokee County,158,230630,0.987341772,0.012658228,0,28.5,0,0.967672415
Georgia Clark,Georgia,Clarke County,101,122035,0.99009901,0.00990099,0,30.2,0,0.967672415
Georgia Clayt,Georgia,Clayton County,159,270270,0.974842767,0.025157233,1,25.1,0,0.967672415
Georgia Clinc,Georgia,Clinch County,69,6815,0.971014493,0.028985507,0,53.3,0,0.967672415
Georgia Coffe,Georgia,Coffee County,123,43040,0.983739837,0.016260163,0,29,0,0.967672415
Georgia Colqu,Georgia,Colquitt County,195,46000,0.969230769,0.030769231,0,38.2,0,0.967672415
Georgia Colum,Georgia,Columbia County,63,139905,1,0,0,21.4,0,0.967672415
Georgia Cowet,Georgia,Coweta County,166,135625,0.951807229,0.048192771,0,62.6,0,0.967672415
Georgia Crawf,Georgia,Crawford County,49,12485,1,0,0,10.2,0,0.967672415
Georgia Crisp,Georgia,Crisp County,98,23060,1,0,0,53.2,0,0.967672415
Georgia Dawso,Georgia,Dawson County,45,22940,0.955555556,0.044444444,0,,,0.967672415
Georgia Decat,Georgia,Decatur County,74,27235,0.972972973,0.027027027,0,56.3,0,0.967672415
Georgia DeKal,Georgia,DeKalb County,384,723900,0.986979167,0.013020833,0,49.3,6.9,0.967672415
Georgia Dodge,Georgia,Dodge County,56,20995,1,0,0,42.9,0,0.967672415
Georgia Dooly,Georgia,Dooly County,73,14090,0.931506849,0.068493151,0,38.9,0,0.967672415
Georgia Dough,Georgia,Dougherty County,98,92325,0.989795918,0.010204082,1,60.2,0,0.967672415
Georgia Dougl,Georgia,Douglas County,89,138285,1,0,0,17.2,17.2,0.967672415
Georgia Early,Georgia,Early County,85,10480,1,0,0,60.5,0,0.967672415
Georgia Echol,Georgia,Echols County,41,4025,0.926829268,0.073170732,,17.3,0,0.967672415
Georgia Effin,Georgia,Effingham County,73,55850,1,0,0,68.2,22.1,0.967672415
Georgia Elber,Georgia,Elbert County,85,19395,0.952941176,0.047058824,0,35.4,0,0.967672415
Georgia Emanu,Georgia,Emanuel County,121,22725,0.983471074,0.016528926,0,22.4,0,0.967672415
Georgia Evans,Georgia,Evans County,48,10735,0.9375,0.0625,0,13.2,0,0.967672415
Georgia Fanni,Georgia,Fannin County,106,24015,0.952830189,0.047169811,0,16.3,0,0.967672415
Georgia Fayet,Georgia,Fayette County,74,109495,0.972972973,0.027027027,0,15.2,0,0.967672415
Georgia Floyd,Georgia,Floyd County,202,96200,0.940594059,0.059405941,0,54.9,0,0.967672415
Georgia Forsy,Georgia,Forsyth County,92,203840,0.97826087,0.02173913,0,,,0.967672415
Georgia Frank,Georgia,Franklin County,117,22190,0.982905983,0.017094017,0,14.2,0,0.967672415
Georgia Fulto,Georgia,Fulton County,753,996755,0.984063745,0.015936255,0,110.9,11.6,0.967672415
Georgia Gilme,Georgia,Gilmer County,102,28955,0.941176471,0.058823529,0,21.6,0,0.967672415
Georgia Glasc,Georgia,Glascock County,22,3055,0.954545455,0.045454545,,8.2,0,0.967672415
Georgia Glynn,Georgia,Glynn County,83,82625,0.987951807,0.012048193,1,57.8,0,0.967672415
Georgia Gordo,Georgia,Gordon County,128,56080,0.9765625,0.0234375,0,44,0,0.967672415
Georgia Grady,Georgia,Grady County,104,25145,0.990384615,0.009615385,0,18.1,0,0.967672415
Georgia Green,Georgia,Greene County,67,16535,0.970149254,0.029850746,0,18.3,0,0.967672415
Georgia Gwinn,Georgia,Gwinnett County,309,874240,0.990291262,0.009708738,0,44.3,22.6,0.967672415
Georgia Haber,Georgia,Habersham County,107,43725,0.953271028,0.046728972,0,10.9,10.9,0.967672415
Georgia Hanco,Georgia,Hancock County,64,8745,0.875,0.125,,25.5,0,0.967672415
Georgia Haral,Georgia,Haralson County,96,28665,0.916666667,0.083333333,0,40.5,20.8,0.967672415
Georgia Harri,Georgia,Harris County,99,32990,0.909090909,0.090909091,0,,,0.967672415
Georgia Heard,Georgia,Heard County,61,11570,0.967213115,0.032786885,0,2.2,0,0.967672415
Georgia Henry,Georgia,Henry County,139,214170,1,0,0,34.2,0,0.967672415
Georgia Houst,Georgia,Houston County,112,149135,0.991071429,0.008928571,0,35.2,0,0.967672415
Georgia Irwin,Georgia,Irwin County,69,9365,0.942028986,0.057971014,0,13,0,0.967672415
Georgia Jacks,Georgia,Jackson County,126,62130,0.976190476,0.023809524,0,45.4,0,0.967672415
Georgia Jaspe,Georgia,Jasper County,68,13570,0.926470588,0.073529412,0,36.8,0,0.967672415
Georgia Jeff ,Georgia,Jeff Davis County,56,14955,0.982142857,0.017857143,0,15.3,0,0.967672415
Georgia Jeffe,Georgia,Jefferson County,63,16200,0.984126984,0.015873016,0,35.7,0,0.967672415
Georgia Jenki,Georgia,Jenkins County,60,9055,0.966666667,0.033333333,0,31.1,0,0.967672415
Georgia Johns,Georgia,Johnson County,49,9695,1,0,0,10.6,0,0.967672415
Georgia Jones,Georgia,Jones County,54,28700,0.907407407,0.092592593,,36.1,0,0.967672415
Georgia Lamar,Georgia,Lamar County,64,18195,0.90625,0.09375,0,25.1,0,0.967672415
Georgia Lanie,Georgia,Lanier County,28,10380,1,0,,6.9,0,0.967672415
Georgia Laure,Georgia,Laurens County,176,47800,0.897727273,0.102272727,0,49,0,0.967672415
Georgia Liber,Georgia,Liberty County,95,63950,1,0,0,33.6,17.2,0.967672415
Georgia Linco,Georgia,Lincoln County,32,7710,1,0,0,,,0.967672415
Georgia Lownd,Georgia,Lowndes County,132,113900,0.954545455,0.045454545,1,96.1,0,0.967672415
Georgia Lumpk,Georgia,Lumpkin County,51,31095,0.980392157,0.019607843,0,,,0.967672415
Georgia McDuf,Georgia,McDuffie County,50,21560,0.96,0.04,0,16.8,0,0.967672415
Georgia McInt,Georgia,McIntosh County,57,13940,0.98245614,0.01754386,0,,,0.967672415
Georgia Macon,Georgia,Macon County,78,13845,0.948717949,0.051282051,0,44.7,0,0.967672415
Georgia Madis,Georgia,Madison County,73,28360,0.945205479,0.054794521,,19.3,0,0.967672415
Georgia Mario,Georgia,Marion County,46,8645,0.630434783,0.369565217,0,17.9,0,0.967672415
Georgia Meriw,Georgia,Meriwether County,133,21195,0.864661654,0.135338346,0,48.8,0,0.967672415
Georgia Mille,Georgia,Miller County,46,5910,1,0,,13.6,0,0.967672415
Georgia Mitch,Georgia,Mitchell County,116,22780,0.931034483,0.068965517,0,30,0,0.967672415
Georgia Monro,Georgia,Monroe County,90,27045,0.988888889,0.011111111,0,45.7,0,0.967672415
Georgia Montg,Georgia,Montgomery County,41,9005,1,0,,22.4,0,0.967672415
Georgia Morga,Georgia,Morgan County,103,17945,0.980582524,0.019417476,0,38.8,0,0.967672415
Georgia Murra,Georgia,Murray County,83,39360,0.879518072,0.120481928,0,29.3,0,0.967672415
Georgia Musco,Georgia,Muscogee County,206,200305,0.966019417,0.033980583,1,47.7,0,0.967672415
Georgia Newto,Georgia,Newton County,98,103900,0.989795918,0.010204082,0,29.8,0,0.967672415
Georgia Ocone,Georgia,Oconee County,60,35070,1,0,,9.3,0,0.967672415
Georgia Oglet,Georgia,Oglethorpe County,50,14745,0.94,0.06,0,,,0.967672415
Georgia Pauld,Georgia,Paulding County,82,149830,1,0,0,19,0,0.967672415
Georgia Peach,Georgia,Peach County,38,26905,0.921052632,0.078947368,0,39.5,0,0.967672415
Georgia Picke,Georgia,Pickens County,62,29990,0.967741935,0.032258065,0,22.9,0,0.967672415
Georgia Pierc,Georgia,Pierce County,65,19030,1,0,0,22.3,0,0.967672415
Georgia Pulas,Georgia,Pulaski County,44,11460,0.931818182,0.068181818,0,,,0.967672415
Georgia Putna,Georgia,Putnam County,58,21260,0.965517241,0.034482759,0,18.8,0,0.967672415
Georgia Quitm,Georgia,Quitman County,20,2095,0.9,0.1,,15.9,0,0.967672415
Georgia Rabun,Georgia,Rabun County,114,16310,0.964912281,0.035087719,0,,,0.967672415
Georgia Rando,Georgia,Randolph County,50,7225,0.96,0.04,0,32.7,0,0.967672415
Georgia Richm,Georgia,Richmond County,184,201420,0.967391304,0.032608696,1,70.5,0,0.967672415
Georgia Rockd,Georgia,Rockdale County,44,87570,1,0,0,9.1,0,0.967672415
Georgia Schle,Georgia,Schley County,25,5090,0.96,0.04,,14.6,0,0.967672415
Georgia Screv,Georgia,Screven County,77,14115,0.987012987,0.012987013,0,42.9,0,0.967672415
Georgia Semin,Georgia,Seminole County,35,8695,1,0,0,13.2,0,0.967672415
Georgia Spald,Georgia,Spalding County,86,64005,0.906976744,0.093023256,0,18.9,0,0.967672415
Georgia Steph,Georgia,Stephens County,68,25585,0.955882353,0.044117647,0,25.1,11.7,0.967672415
Georgia Stewa,Georgia,Stewart County,52,5790,0.961538462,0.038461538,0,,,0.967672415
Georgia Sumte,Georgia,Sumter County,81,31070,0.925925926,0.074074074,0,63.3,0,0.967672415
Georgia Talbo,Georgia,Talbot County,68,6375,0.897058824,0.102941176,0,44.4,0,0.967672415
Georgia Talia,Georgia,Taliaferro County,41,1905,0.951219512,0.048780488,,21,0,0.967672415
Georgia Tattn,Georgia,Tattnall County,72,25260,0.972222222,0.027777778,0,11.8,0,0.967672415
Georgia Taylo,Georgia,Taylor County,71,8355,0.929577465,0.070422535,0,40.3,0,0.967672415
Georgia Telfa,Georgia,Telfair County,71,16405,0.971830986,0.028169014,,34.7,0,0.967672415
Georgia Terre,Georgia,Terrell County,52,9130,0.980769231,0.019230769,0,17.6,0,0.967672415
Georgia Thoma,Georgia,Thomas County,180,44975,0.977777778,0.022222222,0,65.8,0,0.967672415
Georgia Toomb,Georgia,Toombs County,72,27160,0.972222222,0.027777778,0,17.5,0,0.967672415
Georgia Towns,Georgia,Towns County,45,10975,0.933333333,0.066666667,,,,0.967672415
Georgia Treut,Georgia,Treutlen County,71,6710,0.985915493,0.014084507,0,11.9,0,0.967672415
Georgia Troup,Georgia,Troup County,171,69315,0.923976608,0.076023392,0,56.9,0,0.967672415
Georgia Turne,Georgia,Turner County,70,8150,0.985714286,0.014285714,0,23.5,0,0.967672415
Georgia Twigg,Georgia,Twiggs County,45,8365,0.977777778,0.022222222,0,43.5,0,0.967672415
Georgia Union,Georgia,Union County,81,22035,0.975308642,0.024691358,0,,,0.967672415
Georgia Upson,Georgia,Upson County,61,26395,0.967213115,0.032786885,0,12.9,0,0.967672415
Georgia Walke,Georgia,Walker County,149,68145,0.973154362,0.026845638,0,45.6,0,0.967672415
Georgia Walto,Georgia,Walton County,115,87435,0.973913043,0.026086957,0,15.7,0,0.967672415
Georgia Warre,Georgia,Warren County,56,5505,0.928571429,0.071428571,,42,0,0.967672415
Georgia Washi,Georgia,Washington County,75,20680,1,0,0,55.5,0,0.967672415
Georgia Wayne,Georgia,Wayne County,82,30005,0.951219512,0.048780488,0,79.2,22.8,0.967672415
Georgia Webst,Georgia,Webster County,26,2670,0.961538462,0.038461538,,7,0,0.967672415
Georgia Wheel,Georgia,Wheeler County,54,7930,0.944444444,0.055555556,0,18.5,0,0.967672415
Georgia White,Georgia,White County,78,28140,0.974358974,0.025641026,0,,,0.967672415
Georgia Whitf,Georgia,Whitfield County,129,103655,0.937984496,0.062015504,0,50.6,0,0.967672415
Georgia Wilco,Georgia,Wilcox County,68,8885,1,0,0,24.9,0,0.967672415
Georgia Wilke,Georgia,Wilkes County,65,9925,0.984615385,0.015384615,0,7.5,0,0.967672415
Georgia Wilki,Georgia,Wilkinson County,73,9310,0.98630137,0.01369863,,34.8,0,0.967672415
Georgia Worth,Georgia,Worth County,123,20990,0.983739837,0.016260163,0,18.2,0,0.967672415
Hawaii Hawai,Hawaii,Hawaii County,235,193680,0.961702128,0.038297872,3,,,0.564047103
Hawaii Honol,Hawaii,Honolulu County,646,987000,0.939628483,0.060371517,1,,,0.564047103
Hawaii Kauai,Hawaii,Kauai County,82,70445,0.87804878,0.12195122,1,,,0.564047103
Idaho Adams,Idaho,Adams County,87,3865,0.908045977,0.091954023,0,,,0.968883613
Idaho Banno,Idaho,Bannock County,118,83815,0.906779661,0.093220339,0,88,0,0.968883613
Idaho Bear ,Idaho,Bear Lake County,33,5930,0.96969697,0.03030303,0,45.6,0,0.968883613
Idaho Benew,Idaho,Benewah County,41,9070,0.902439024,0.097560976,0,22.3,0,0.968883613
Idaho Bingh,Idaho,Bingham County,263,45260,0.931558935,0.068441065,0,97,0,0.968883613
Idaho Blain,Idaho,Blaine County,93,21425,0.892473118,0.107526882,1,15.4,0,0.968883613
Idaho Boise,Idaho,Boise County,88,6890,0.943181818,0.056818182,0,31.9,27.5,0.968883613
Idaho Bound,Idaho,Boundary County,83,11140,0.843373494,0.156626506,0,83.9,34.6,0.968883613
Idaho Butte,Idaho,Butte County,32,2590,0.96875,0.03125,0,19.6,0,0.968883613
Idaho Camas,Idaho,Camas County,51,970,0.882352941,0.117647059,0,,,0.968883613
Idaho Canyo,Idaho,Canyon County,288,202780,0.961805556,0.038194444,0,60.9,0,0.968883613
Idaho Carib,Idaho,Caribou County,43,6815,0.906976744,0.093023256,0,62.6,0,0.968883613
Idaho Cassi,Idaho,Cassia County,105,23440,1,0,0,36.4,0,0.968883613
Idaho Clark,Idaho,Clark County,40,960,0.875,0.125,0,37.6,0,0.968883613
Idaho Clear,Idaho,Clearwater County,87,8530,0.908045977,0.091954023,0,25.5,0,0.968883613
Idaho Custe,Idaho,Custer County,121,4185,0.917355372,0.082644628,0,,,0.968883613
Idaho Elmor,Idaho,Elmore County,95,26105,0.915789474,0.084210526,0,64.3,0,0.968883613
Idaho Frank,Idaho,Franklin County,23,13015,0.869565217,0.130434783,0,26.6,0,0.968883613
Idaho Fremo,Idaho,Fremont County,137,12895,0.875912409,0.124087591,0,28.5,0,0.968883613
Idaho Goodi,Idaho,Gooding County,78,15155,0.91025641,0.08974359,0,30.6,0,0.968883613
Idaho Idaho,Idaho,Idaho County,208,16250,0.9375,0.0625,0,19.2,0,0.968883613
